T_DB (K),P (Pa),x_w (mol/mol),x_w_sat(mol/hmol),x_w_gas (mol/mol),h_gas (J/mol),s_gas (J/mol/K),v_gas (m3/mol),x_w_liq (mol/mol),h_liq (J/mol),s_liq (J/mol/K),v_liq (m3/mol),x_gas (mol/mol),RH,T_WB (K)
255.220188,172491.4225,0.03119344,0.000734481,0.000734481,-495.6624264,-6.281131091,0.012283794,1,0,0,0,0.969518653,1,255.220188
326.661457,161741.553,0.11603005,0.091353827,0.091353827,5687.488534,15.10925902,0.016778988,1,4038.204707,13.49225435,1.83E-05,0.972842869,1,326.661457
352.369641,99835.6679,0.17810277,0.462743045,0.17810277,10389.28329,33.45045981,0.029322433,1,5977.093535,19.20897058,1.85E-05,1,0.384884812,331.933935
354.944243,100557.2493,0.0527224,0.509624831,0.0527224,4780.138108,15.93965735,0.02934532,1,6171.77644,19.7594202,1.86E-05,1,0.103453358,314.2590752
339.794508,111709.7787,0.15676412,0.242723088,0.15676412,9042.285141,28.50095605,0.025267564,1,5027.603396,16.46451089,1.84E-05,1,0.645855823,330.9382327
323.623777,75056.3654,0.02685101,0.169239115,0.02685101,2688.253319,11.77843754,0.03584403,1,3808.011911,12.78914008,1.82E-05,1,0.158657235,298.3742419
327.963852,109514.3711,0.00389788,0.143472479,0.00389788,1774.087404,5.37668369,0.024895984,1,4135.538166,13.79254131,1.83E-05,1,0.027168137,295.535004
312.187625,140900.1077,0.06728802,0.050070143,0.050070143,3397.341102,8.955106315,0.018411852,1,2947.826156,10.07929575,1.81E-05,0.981874581,1,312.187625
330.171648,114958.798,0.17049716,0.151866937,0.151866937,8530.786888,26.72549965,0.023854237,1,4302.0071,14.29812105,1.83E-05,0.978033845,1,330.171648
346.44798,168832.69,0.11863727,0.214610342,0.11863727,7510.29066,20.35107266,0.017048405,1,5530.674824,17.92764966,1.85E-05,1,0.552803136,334.3940683
366.270946,142704.9844,0.04337015,0.556711859,0.04337015,4687.33115,12.56096456,0.021339852,1,7029.992267,22.13733968,1.87E-05,1,0.077904125,319.6302916
299.849449,121528.1262,0.09652473,0.028986076,0.028986076,2084.984511,5.85321277,0.020504169,1,2018.504617,7.043212977,1.81E-05,0.930445226,1,299.849449
260.568014,154246.9674,0.04365014,0.001345374,0.001345374,-310.5718758,-4.632059963,0.014028571,1,0,0,0,0.957638242,1,260.568014
299.074832,88764.8246,0.11864419,0.037875018,0.037875018,2465.798676,9.736518348,0.028002149,1,1959.617383,6.848547043,1.81E-05,0.916051268,1,299.074832
345.799122,171135.2515,0.1754179,0.205984637,0.1754179,10057.66922,28.01296639,0.016775069,1,5481.709825,17.78606001,1.85E-05,1,0.851606716,342.338163
372.883945,140350.806,0.0132449,0.719171769,0.0132449,3512.294616,8.597133993,0.022092172,1,7531.712865,23.49504389,1.88E-05,1,0.01841688,312.7478997
278.361351,172158.687,0.18689122,0.005176953,0.005176953,379.616214,-2.969199161,0.01343082,1,397.760975,1.43121713,1.80E-05,0.817340111,1,278.361351
255.87135,76378.7788,0.19037837,0.001756287,0.001756287,-422.0510552,0.775431411,0.027835116,1,0,0,0,0.811046059,1,255.87135
258.790065,165204.277,0.17552614,0.00106871,0.00106871,-375.8353884,-5.454626295,0.013007066,1,0,0,0,0.825355926,1,258.790065
303.501597,67713.3576,0.01261785,0.064215575,0.01261785,1456.651177,8.54192738,0.037258277,1,2292.649841,7.955192603,1.81E-05,1,0.196492051,286.8827164
319.168977,113185.7316,0.11004499,0.089796652,0.089796652,5399.574047,17.17873577,0.023430517,1,3473.0712,11.74482014,1.82E-05,0.97775405,1,319.168977
264.073645,143583.0138,0.11908666,0.001975839,0.001975839,-179.0568726,-3.533160903,0.015275604,1,0,0,0,0.882657329,1,264.073645
278.04365,192272.8846,0.05796293,0.004536953,0.004536953,339.9622333,-4.032656749,0.012010722,1,374.056905,1.344710238,1.80E-05,0.946330527,1,278.04365
284.478001,134271.1213,0.15860843,0.010044902,0.010044902,780.4033556,0.534978578,0.01760392,1,859.7004663,3.07517673,1.80E-05,0.849929024,1,284.478001
353.029323,61084.1188,0.03624391,0.774179125,0.03624391,3977.803524,17.47230224,0.048050474,1,6026.409386,19.35083087,1.85E-05,1,0.046815923,302.641973
385.086601,180703.3827,0.04550079,0.849258417,0.04550079,5338.261072,12.39136181,0.017720471,1,8460.571788,25.94413105,1.90E-05,1,0.053577085,326.823049
288.172891,51443.7992,0.16511398,0.033290545,0.033290545,1942.65784,12.50416224,0.046561098,1,1137.212987,4.04962668,1.80E-05,0.863636965,1,288.172891
